id,gender,entity_code,person_query_id,approved,current_situation,score_risk,score_nosis,socioeconomic_level,cda,rate,term,min_term,max_amount,birthday,informed,tries,created_at,updated_at
981093,0,386,1020637,1,1,482.5,1,C2,Aprobado,1000,4,4,13000.00,1971-06-02,0,1,"2022-12-15 16:11:01","2022-12-15 16:11:09"
981088,0,072,1020633,1,2,476.25,1,C1,Aprobado,1000,4,4,19000.00,1986-08-14,0,1,"2022-12-15 16:09:01","2022-12-15 16:09:07"
981078,1,072,1020617,1,5,437.5,1,C1,Aprobado,107,4,4,19000.00,1988-02-25,0,1,"2022-12-15 16:04:29","2022-12-15 16:04:34"
981075,1,017,1020608,1,1,453.75,570,C2,Aprobado,1000,4,4,13000.00,1974-05-08,0,1,"2022-12-15 16:02:46","2022-12-15 16:02:51"
981072,0,020,1020605,1,2,520,1,D1,Aprobado,107,4,4,9000.00,1955-04-01,0,1,"2022-12-15 16:02:15","2022-12-15 16:02:21"
981070,0,007,1020602,1,1,502.5,1,C1,Aprobado,1000,4,4,25000.00,1995-12-10,0,1,"2022-12-15 16:01:54","2022-12-15 16:02:00"
981056,1,027,1020580,1,1,446.25,4,D2,Aprobado,107,4,4,6000.00,1973-01-07,0,1,"2022-12-15 15:55:16","2022-12-15 15:55:22"
981055,0,072,1020577,1,1,560,115,C2,Aprobado,1000,4,4,19000.00,1993-06-23,0,1,"2022-12-15 15:53:33","2022-12-15 15:53:42"
981052,0,007,1020572,1,1,523.75,498,C2,Aprobado,1000,4,4,19000.00,1986-10-28,0,1,"2022-12-15 15:51:41","2022-12-15 15:51:46"
981048,1,097,1020568,1,1,503.75,75,C2,Aprobado,1000,4,4,19000.00,1984-10-07,0,1,"2022-12-15 15:50:29","2022-12-15 15:50:34"
981033,0,017,1020541,1,5,413.75,1,D1,Observado,107,4,4,6000.00,1977-08-07,1,1,"2022-12-15 15:44:50","2022-12-15 16:32:56"
981022,1,011,1020528,1,1,400,234,C3,Aprobado,1000,4,4,9000.00,1992-12-16,0,1,"2022-12-15 15:40:37","2022-12-15 15:40:42"
981020,1,011,1020525,1,1,548.75,166,C2,Aprobado,1000,4,4,19000.00,1983-07-24,0,1,"2022-12-15 15:39:50","2022-12-15 15:39:57"
981013,0,017,1020513,1,1,400,1,C3,Aprobado,1000,4,4,9000.00,1994-09-16,0,1,"2022-12-15 15:37:10","2022-12-15 15:37:16"
