id,gender,entity_code,person_query_id,approved,current_situation,score_risk,score_nosis,socioeconomic_level,cda,rate,term,min_term,max_amount,birthday,informed,tries,created_at,updated_at
769438,0,014,708830,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:24:19","2022-08-30 19:24:28"
769437,1,014,708829,1,5,460,1,C2,Aprobado,107,4,4,12000.00,1972-11-18,0,1,"2022-08-30 19:24:09","2022-08-30 19:24:17"
769436,0,011,708828,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:23:54","2022-08-30 19:24:02"
769435,1,014,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:23:44","2022-08-30 19:23:45"
769434,0,017,708827,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:23:37","2022-08-30 19:23:44"
769433,1,072,708826,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:23:36","2022-08-30 19:23:44"
769432,0,259,708825,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:23:20","2022-08-30 19:23:27"
769431,1,011,708823,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:23:05","2022-08-30 19:23:11"
769430,0,034,708822,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:23:00","2022-08-30 19:23:10"
769429,1,014,708820,1,5,563.75,1,C2,Aprobado,107,4,4,18000.00,1975-12-26,0,1,"2022-08-30 19:22:43","2022-08-30 19:22:51"
769428,1,027,708819,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:22:37","2022-08-30 19:22:44"
769427,1,007,708818,1,1,478.75,790,C2,Aprobado,1000,4,4,12000.00,1990-07-28,0,1,"2022-08-30 19:22:27","2022-08-30 19:22:34"
769426,1,014,708817,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:22:24","2022-08-30 19:22:32"
769425,0,011,708816,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:22:19","2022-08-30 19:22:27"
769424,1,259,708815,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:22:10","2022-08-30 19:22:17"
769423,1,285,708814,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:22:09","2022-08-30 19:22:18"
769422,0,007,708813,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:22:06","2022-08-30 19:22:15"
769421,1,027,708812,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:22:00","2022-08-30 19:22:06"
769420,1,017,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:21:56","2022-08-30 19:22:03"
769419,0,011,708811,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:21:36","2022-08-30 19:21:43"
769418,1,011,708810,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,"2022-08-30 19:21:29","2022-08-30 19:23:00"
769417,1,017,708809,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:20:46","2022-08-30 19:20:54"
769416,1,017,708806,1,1,400,1,C2,Aprobado,1000,4,4,12000.00,1995-08-22,0,1,"2022-08-30 19:19:26","2022-08-30 19:19:34"
769415,1,072,708805,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:19:17","2022-08-30 19:19:24"
769414,1,014,624070,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:18:38","2022-08-30 19:18:42"
769413,0,011,608538,1,1,473.75,218,C3,Aprobado,1000,4,4,8000.00,1996-12-30,0,1,"2022-08-30 19:18:15","2022-08-30 19:18:19"
769412,0,285,708801,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,"2022-08-30 19:18:01","2022-08-30 19:19:00"
769411,1,011,708762,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:17:10","2022-08-30 19:17:14"
769410,1,017,708798,1,1,432.5,25,C3,Aprobado,1000,4,4,8000.00,1983-05-22,0,1,"2022-08-30 19:17:07","2022-08-30 19:17:13"
769409,1,011,708797,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:17:06","2022-08-30 19:17:12"
769408,1,011,708781,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:17:00","2022-08-30 19:17:04"
769407,1,011,708796,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:16:42","2022-08-30 19:16:49"
769406,1,027,708795,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,"2022-08-30 19:16:22","2022-08-30 19:17:53"
769405,0,014,708794,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:15:51","2022-08-30 19:15:58"
769404,1,072,708793,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:15:29","2022-08-30 19:15:36"
769403,0,011,708792,1,1,586.25,436,C3,Aprobado,1000,4,4,14000.00,1974-02-17,0,1,"2022-08-30 19:15:00","2022-08-30 19:15:08"
769402,0,011,701352,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:14:54","2022-08-30 19:14:58"
769401,1,150,708791,1,1,468.75,65,C2,Aprobado,1000,4,4,5000.00,1991-09-25,0,1,"2022-08-30 19:14:47","2022-08-30 19:14:53"
769400,1,027,708790,1,1,502.5,200,D1,Aprobado,107,4,4,8000.00,1986-10-05,0,1,"2022-08-30 19:14:02","2022-08-30 19:14:09"
769399,0,011,708787,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:13:26","2022-08-30 19:13:33"
769398,1,011,540509,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,"2022-08-30 19:13:12","2022-08-30 19:16:52"
769397,0,011,708786,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:12:59","2022-08-30 19:13:06"
769396,1,285,708784,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:12:39","2022-08-30 19:12:46"
769395,0,014,708783,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:12:35","2022-08-30 19:12:43"
769394,1,011,708781,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:11:57","2022-08-30 19:12:05"
769393,0,014,708779,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:11:42","2022-08-30 19:11:49"
769392,1,011,708778,1,1,497.5,259,D1,Aprobado,107,4,4,5000.00,1961-04-15,0,1,"2022-08-30 19:11:41","2022-08-30 19:11:48"
769391,0,011,708775,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:11:20","2022-08-30 19:11:26"
769390,0,020,637427,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:11:12","2022-08-30 19:11:16"
769389,1,011,708774,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,"2022-08-30 19:11:06","2022-08-30 19:18:26"
769388,0,072,708773,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:10:53","2022-08-30 19:11:01"
769387,1,034,708772,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:10:28","2022-08-30 19:10:35"
769386,1,007,708771,1,1,542.5,77,C1,Aprobado,1000,4,4,24000.00,1988-11-29,0,1,"2022-08-30 19:10:20","2022-08-30 19:10:29"
769385,1,007,708770,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:10:14","2022-08-30 19:10:23"
769384,0,020,708769,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,"2022-08-30 19:10:12","2022-08-30 19:14:23"
769383,0,285,708768,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:09:57","2022-08-30 19:10:04"
769382,0,014,708766,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:09:25","2022-08-30 19:09:31"
769381,1,011,708764,1,1,538.75,364,C2,Aprobado,1000,4,4,18000.00,1968-04-28,0,1,"2022-08-30 19:09:12","2022-08-30 19:09:19"
769380,1,011,708763,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:09:05","2022-08-30 19:09:13"
769379,0,027,545383,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:08:40","2022-08-30 19:08:43"
769378,1,014,708762,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:08:35","2022-08-30 19:08:44"
769377,0,027,708760,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:07:58","2022-08-30 19:08:05"
769376,0,007,708759,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:07:51","2022-08-30 19:07:58"
769375,0,014,708741,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:07:49","2022-08-30 19:07:53"
769374,0,011,708757,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3,"2022-08-30 19:07:37","2022-08-30 19:17:47"
769373,0,034,708756,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,"2022-08-30 19:07:32","2022-08-30 19:09:40"
769372,1,072,708753,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:06:45","2022-08-30 19:06:52"
769371,1,017,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:06:42","2022-08-30 19:06:43"
769370,1,259,697498,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,"2022-08-30 19:06:18","2022-08-30 19:13:41"
769369,0,007,708751,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:06:08","2022-08-30 19:06:16"
769368,0,014,708750,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,"2022-08-30 19:06:01","2022-08-30 19:08:40"
769367,0,014,708749,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4,"2022-08-30 19:05:10","2022-08-30 19:20:04"
769366,1,285,708748,1,1,578.75,1,C3,Aprobado,1000,4,4,14000.00,1999-06-20,0,1,"2022-08-30 19:05:09","2022-08-30 19:05:17"
769365,0,011,708745,1,1,455,561,D1,Aprobado,107,4,4,5000.00,1951-09-20,0,1,"2022-08-30 19:04:26","2022-08-30 19:04:35"
769364,1,014,708744,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:04:21","2022-08-30 19:04:30"
769363,0,015,708743,1,1,498.75,100,C2,Aprobado,1000,4,4,5000.00,1983-04-29,0,1,"2022-08-30 19:04:12","2022-08-30 19:04:19"
769362,1,011,708742,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:03:49","2022-08-30 19:03:55"
769361,0,014,708741,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:02:38","2022-08-30 19:02:45"
769360,0,011,708740,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:02:30","2022-08-30 19:02:37"
769359,1,285,708738,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:02:24","2022-08-30 19:02:32"
769358,0,011,708737,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:02:17","2022-08-30 19:02:24"
769357,1,072,708735,1,1,506.25,364,C2,Aprobado,1000,4,4,18000.00,1986-02-13,0,1,"2022-08-30 19:02:11","2022-08-30 19:02:19"
769356,1,007,708733,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:01:17","2022-08-30 19:01:25"
769355,1,014,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:01:16","2022-08-30 19:01:17"
769354,0,027,708731,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 19:00:16","2022-08-30 19:00:25"
769353,1,007,708728,1,1,507.5,391,C3,Aprobado,1000,4,4,14000.00,1990-04-06,0,1,"2022-08-30 18:59:45","2022-08-30 18:59:52"
769352,0,011,708644,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,"2022-08-30 18:59:21","2022-08-30 19:04:22"
769351,1,285,708727,1,1,487.5,1,D1,Aprobado,107,4,4,5000.00,1994-09-10,0,1,"2022-08-30 18:58:32","2022-08-30 18:58:40"
769350,0,020,708724,1,5,590,1,C1,Aprobado,107,4,4,24000.00,1978-06-10,0,1,"2022-08-30 18:58:05","2022-08-30 18:58:12"
769349,0,011,708722,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,"2022-08-30 18:57:52","2022-08-30 19:13:56"
769348,1,285,708720,1,1,672.5,154,C1,Aprobado,1000,4,4,30000.00,1993-10-20,0,1,"2022-08-30 18:57:35","2022-08-30 18:57:44"
769347,0,285,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 18:57:34","2022-08-30 18:57:35"
769346,1,017,708657,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 18:57:25","2022-08-30 18:57:30"
769345,1,014,708719,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 18:57:20","2022-08-30 18:57:28"
769344,1,034,598713,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 18:57:15","2022-08-30 18:57:19"
769343,0,072,708717,1,1,566.25,407,C2,Aprobado,1000,4,4,18000.00,1967-08-05,0,1,"2022-08-30 18:56:51","2022-08-30 18:57:00"
769342,1,014,708715,1,1,582.5,208,C2,Aprobado,1000,4,4,18000.00,1993-10-25,0,1,"2022-08-30 18:55:57","2022-08-30 18:56:05"
769341,1,017,708714,1,3,428.75,1,C2,Aprobado,107,4,4,12000.00,1977-12-17,0,1,"2022-08-30 18:55:54","2022-08-30 18:56:03"
769340,1,014,708713,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 18:55:21","2022-08-30 18:55:27"
769339,1,072,708515,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 18:55:04","2022-08-30 18:55:08"
769338,0,027,708710,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,"2022-08-30 18:54:33","2022-08-30 18:55:21"
769337,0,014,708711,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 18:54:33","2022-08-30 18:54:42"
769336,0,285,708706,1,3,573.75,1,C3,Aprobado,107,4,4,14000.00,1979-03-05,0,1,"2022-08-30 18:53:39","2022-08-30 18:53:47"
769335,1,011,708705,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,"2022-08-30 18:53:32","2022-08-30 18:54:07"
769334,1,014,708704,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,"2022-08-30 18:53:14","2022-08-30 18:56:21"
769333,1,011,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 18:52:21","2022-08-30 18:52:23"
769332,1,014,708702,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3,"2022-08-30 18:52:02","2022-08-30 19:02:42"
769331,1,072,708701,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,"2022-08-30 18:51:53","2022-08-30 18:51:59"
